earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
0.21,833402,null,null,1.55,0.1103,10538688.49,,25204755.72,10323966.50,97326280.18,19762456.67
0.05,833403,null,null,3.25,0.0087,12278800.84,,230821093.24,9242611.61,1483090644.53,661524983.23
0.00,833404,null,null,0.95,-0.0285,49107.64,,-3333968.35,-1679213.37,116023066.90,56280401.65
1.96,833405,null,null,4.54,0.4550,50993089.08,,78837122.41,67147364.57,232245802.88,114250598.29
0.31,833407,null,null,null,0.1618,null,,null,null,null,null
0.05,833408,null,null,1.14,0.0205,1543629.66,,1852134.12,820370.08,45996747.02,11872894.05
0.05,833411,null,null,1.32,0.0059,790027.65,,2198866.13,232883.72,96577677.00,76845893.23
-0.10,833412,null,null,1.03,-0.0963,-4193774.29,,-14021118.40,-5031547.51,78325401.47,34490573.91
-0.10,833413,null,null,1.61,-0.0806,-2962853.35,,11043816.82,-3190397.41,69638482.92,21300393.03
null,833415,null,null,null,null,null,,null,null,null,null
0.12,833416,null,null,3.40,0.0348,6413324.43,,39645561.10,7984020.29,354563689.69,96214986.60
null,833417,null,null,null,null,null,,null,null,null,null
0.08,833419,null,null,1.27,0.0607,2471932.98,,2480294.43,3239022.32,42353043.17,4366020.24
-0.11,833421,null,null,0.95,-0.1113,-833029.55,,-1563884.41,-838359.55,12014633.49,4901940.55
0.05,833422,null,null,0.50,0.0192,337638.05,,-6907563.08,92158.68,8965039.70,5570124.89
0.14,833425,null,null,2.08,0.0622,11923311.23,,55333149.75,13059383.11,263117467.20,83954541.96
0.19,833426,null,null,2.03,0.0913,10704583.96,,32315286.54,11738863.46,175468090.81,63692075.01
0.37,833427,null,null,1.99,0.1933,11123644.50,,24591740.29,12165343.66,132085175.42,72336607.04
0.08,833428,null,null,2.20,0.0162,2909810.48,,7262275.21,3292624.96,95666958.84,12307740.23
0.32,833429,null,null,4.06,0.0463,20152556.44,,145476159.10,23099847.44,825496118.56,397277599.97
null,833430,null,null,null,null,null,,3961718.57,null,74181401.83,36429778.68
0.10,833432,null,null,1.14,0.0718,1654701.07,,1541451.56,2031112.28,85225377.52,64109344.28
null,833433,null,null,null,null,null,,null,null,null,null
0.26,833434,null,null,1.98,0.1153,6881275.06,,23524707.18,8332760.27,103382033.42,50404216.65
null,833436,null,null,null,null,null,,null,null,null,null
0.41,833437,null,null,3.74,0.0448,40344117.58,,209163318.70,45540498.20,522033124.84,145992172.15
-0.15,833438,null,null,1.02,0.1394,-1599328.50,,-856382.20,-1599328.50,14761920.06,4084621.18
0.13,833439,null,null,1.95,0.0377,3002097.01,,16186694.79,2327703.29,90451742.04,43189028.66
null,833440,null,null,null,null,null,,null,null,null,null
0.01,833441,null,null,1.92,-0.0055,178067.11,,3775295.25,137841.71,101718721.43,35705672.01
0.26,833442,null,null,2.93,0.0708,46790603.70,,75941157.58,54983719.75,582913837.96,55440223.67
0.00,833443,null,null,0.69,-0.0640,60057.20,,-6216648.21,-879942.80,17207146.33,3423794.54
-0.16,833444,null,null,5.32,-0.0338,-11881703.77,,272030949.50,-16059273.15,854072284.16,407392632.38
-0.24,833445,null,null,3.20,-0.0703,-30313796.39,,145410.38,-29438445.23,696590982.55,294928964.12
-0.08,833446,null,null,1.06,-0.0740,-12188769.62,,-16536499.44,-12163630.49,168245860.80,9640583.60
null,833447,null,null,null,null,null,,null,null,null,null
-0.28,833448,null,null,1.98,-0.1389,-8963537.93,,1112023.00,-9072192.25,72036387.63,6636175.29
0.11,833449,null,null,2.14,0.0724,4085959.62,,21552263.06,2756905.93,96116260.59,18952624.23
0.38,833450,null,null,6.00,0.0618,11051126.86,,89473539.69,13642579.29,192494140.97,47241032.89
0.08,833451,null,null,1.71,0.0445,15025994.83,,61966813.33,18056182.98,459542483.69,132986732.94
0.26,833452,null,null,1.85,0.1187,6200520.75,,16300762.50,7105131.12,66735576.06,22315064.06
0.14,833453,null,null,1.37,0.0952,4064830.82,,9544398.08,4431274.51,73112263.99,31554753.03
0.08,833454,null,null,1.39,0.0567,6015290.51,,13685020.40,6458967.89,175013687.51,65596742.88
0.16,833455,null,null,1.20,0.1359,15610923.72,,15962478.16,18095333.54,163590823.93,45501165.62
0.08,833459,null,null,2.92,0.0213,5913304.73,,63004145.09,5073531.48,239442047.72,23298214.38
0.68,833460,null,null,5.33,0.2200,6785581.07,,21334211.21,9036371.03,74855101.26,15662661.38
0.05,833461,null,null,1.19,-0.0316,1732219.50,,2557412.11,-1401966.05,159517211.16,119105315.52
null,833462,null,null,null,null,null,,35349350.27,null,245943493.75,111448193.23
null,833463,null,null,null,null,null,,null,null,null,null
-0.39,833464,null,null,3.82,-0.1922,-4498546.69,,-19962319.16,-4503833.07,48826750.50,844601.47
-0.27,833465,null,null,2.70,-0.1516,-12958491.14,,12064857.54,-14088017.01,178165081.82,50352806.08
-0.11,833466,null,null,1.40,-0.1021,-3240532.78,,-1021224.03,-5317536.69,57331323.41,14940948.25
0.12,833467,null,null,1.44,0.0727,3151648.98,,10009053.57,3230367.58,79769135.37,40196615.53
0.04,833468,null,null,4.39,0.0076,1814965.75,,22463601.78,1905536.17,356200031.70,145305491.11
-0.03,833469,null,null,2.35,-0.0130,-658242.57,,-364935.21,-559753.07,48905664.69,4326971.87
-0.03,833470,null,null,1.08,-0.1320,-171940.94,,239887.15,-708468.80,5961309.09,569203.59
-0.02,833471,null,null,0.90,-0.0205,-1788465.83,,-40998615.46,-1976462.50,113337376.20,23015248.86
null,833472,null,null,null,null,null,,null,null,null,null
0.02,833473,null,null,1.33,0.0063,246423.52,,3506358.97,275902.98,40145460.30,21190374.55
0.11,833474,null,null,3.42,0.0404,10039461.67,,39059502.39,11707914.56,387001635.50,46079882.49
0.09,833475,null,null,null,null,null,,null,null,null,null
-0.17,833476,null,null,2.84,-0.0566,-5623121.19,,2993223.87,-6406037.32,156712240.78,61143570.61
0.17,833477,null,null,2.08,0.0777,3554837.65,,29226736.46,4622967.85,136363483.03,74887328.56
0.19,833478,null,null,2.24,0.0880,17081157.20,,46174869.10,19485209.90,522471762.40,322020021.01
0.05,833479,null,null,1.48,0.0312,2359819.30,,7466353.03,2740778.30,148579658.77,74815351.15
-0.01,833480,null,null,3.01,-0.0089,-1580182.33,,130904213.06,-5537618.20,694877605.92,192897600.68
-0.02,833482,null,null,2.76,-0.0099,-3961739.38,,190699243.33,-6740733.26,696730486.44,232494441.69
0.01,833483,null,null,1.12,0.0073,909106.37,,-24849596.68,665236.03,261635797.06,169968393.74
0.06,833484,null,null,4.80,0.0065,1244864.73,,4895632.81,937379.30,148405648.56,43885510.15
-0.61,833485,null,null,0.72,-0.5965,-3380654.73,,-3636196.55,-3373753.19,5309355.21,1322948.00
0.04,833486,null,null,1.38,0.0230,1263780.17,,5993460.41,1675992.11,58920022.55,14156904.40
-0.08,833487,null,null,1.06,-0.0804,-537640.59,,50325.38,-492529.92,29161358.56,21740073.92
0.07,833488,null,null,1.73,0.0362,2549911.49,,10391979.05,2650526.75,120197932.66,55476524.27
0.19,833489,null,null,1.29,0.1281,10905388.93,,10391995.38,10223831.25,120976413.74,46783947.12
0.16,833490,null,null,1.74,0.0731,3284022.45,,10552108.48,2881190.62,86994251.66,52113825.49
null,833492,null,null,null,null,null,,null,null,null,null
0.11,833494,null,null,1.82,0.1147,381403.16,,1637622.33,1040388.02,20065572.37,10334766.21
null,833495,null,null,null,null,null,,-845845.77,null,37077914.13,7559435.15
0.31,833497,null,null,2.59,0.1249,6100773.67,,24732241.67,8951696.64,191537529.25,133721630.98
0.45,833498,null,null,null,0.1625,null,,null,null,null,null
0.07,833499,null,null,1.37,0.0516,176496206.73,,458534273.56,237452584.53,23919791400.18,20467847994.64
0.14,833500,null,null,1.28,0.0806,4822481.91,,6317850.76,2249773.81,47053448.23,2718634.92
0.36,833503,null,null,2.91,0.1152,15568652.43,,78179603.51,17578132.48,211201950.98,85684025.53
0.48,833505,null,null,2.94,0.2101,12190830.64,,32786218.44,13917200.72,93157103.73,17239368.37
0.16,833506,null,null,1.71,0.0848,4313795.89,,16126289.97,3681295.87,82366869.77,36793616.36
0.24,833507,null,null,2.12,0.1406,3052319.18,,7419142.49,4337934.06,89776861.18,62713721.07
0.03,833508,null,null,2.52,0.0049,1661978.64,,24952205.95,2096803.74,187598723.77,68473390.24
0.21,833509,null,null,1.49,0.1250,11722067.05,,21111185.52,13360677.76,95284116.97,13865548.55
0.14,833510,null,null,2.21,0.1127,1405125.89,,1158613.33,1269826.43,61493469.43,32719461.34
-0.05,833512,null,null,0.81,-0.0571,null,,-10593633.07,-2505269.03,62933805.73,20383438.80
0.01,833513,null,null,1.09,0.0036,164171.18,,2270177.97,217218.76,59590691.21,27124652.82
0.05,833514,null,null,1.44,0.0069,371368.93,,3451130.01,402026.01,27346466.85,8351909.72
0.28,833515,null,null,1.57,0.1096,10369929.23,,13434110.88,7342236.56,176303307.57,118861880.57
0.11,833516,null,null,1.29,0.0831,5052328.21,,12283457.02,5543928.55,171627303.99,112456314.62
0.02,833518,null,null,1.03,0.0074,369780.05,,-6634277.48,82967.42,100600191.28,80421010.86
0.11,833519,null,null,1.20,0.0545,1400817.59,,2883927.68,2294151.68,32492914.33,8811389.52
0.00,833520,null,null,1.82,-0.0252,5503.47,,10032118.93,-803554.77,70910007.86,34557466.55
-0.24,833521,null,null,null,-0.4823,-7763213.41,,-24959522.26,-8050031.78,35430800.85,22621029.17
-0.17,833522,null,null,2.79,-0.0690,-8257202.97,,19155786.03,-11167511.77,228384737.41,94541866.54
0.20,833523,null,null,1.34,0.2033,14278927.09,,14932092.17,15911309.81,100865706.67,27810821.04
-0.14,833524,null,null,0.96,-0.1374,-3214863.35,,-12484343.21,-3215163.40,52751601.90,30962687.82
-0.05,833525,null,null,0.96,-0.0623,-1454695.16,,-836519.28,-1611107.51,65885613.12,49049275.27
-0.56,833526,null,null,5.83,-0.0868,-19013781.27,,158379720.57,-16618241.92,698355928.15,436061067.12
-0.30,833527,null,null,0.04,-1.6200,-9336703.42,,-32062533.77,-9400181.28,40900668.15,39783988.19
0.25,833528,null,null,1.87,0.1429,5259915.17,,11305739.89,5812894.53,125485287.57,85633960.54
0.02,833529,null,null,4.89,0.0007,729858.44,,112764526.65,1059161.67,230599328.80,12060945.82
0.02,833530,null,null,1.79,-0.0013,1336230.78,,21673161.47,-41592.51,206910193.84,105505953.91
0.36,833533,null,null,1.62,0.2260,7545212.07,,9796052.42,8830011.83,65794177.96,31102188.42
-0.17,833534,null,null,4.16,-0.0408,-7786653.67,,43660174.67,-9866189.39,245098720.42,57824905.72
0.07,833535,null,null,1.40,0.0088,836005.61,,3449631.13,252569.80,19556998.31,3322603.51
-0.97,833536,null,null,null,-0.0245,null,,null,null,null,null
0.20,833540,null,null,1.91,0.0807,6511101.39,,16591228.27,5176251.57,457450297.96,396573476.15
0.12,833541,null,null,null,0.0217,null,,null,null,null,null
0.02,833542,null,null,1.42,0.0136,498981.46,,8942327.79,428267.12,113399085.48,79325058.68
0.08,833543,null,null,1.64,0.0495,4117712.87,,17032356.26,4505668.85,143886127.55,59333803.49
0.07,833544,null,null,2.35,0.0244,1696939.40,,10341521.68,1770551.75,187229469.51,133712478.68
0.56,833545,null,null,5.57,0.0865,47390877.53,,152857680.62,55149451.62,718444547.32,161082254.54
null,833546,null,null,null,null,null,,null,null,null,null
0.13,833548,null,null,3.75,0.0333,12860708.31,,181828822.57,16751488.68,598480555.04,248158914.82
-0.14,833549,null,null,0.88,-0.1780,-3911235.22,,-4455437.58,-3844179.21,31010398.70,6149332.87
0.11,833550,null,null,3.92,0.0214,4128222.29,,30756190.53,3897299.01,280251242.34,76396293.38
-0.06,833551,null,null,4.48,-0.2914,-1738926.46,,62368202.82,-1591279.20,155881034.90,19512314.66
0.09,833552,null,null,1.53,4.7800,1775534.42,,8102922.34,1653951.65,33919032.11,3223251.42
null,833554,null,null,null,null,null,,null,null,null,null
null,833555,null,null,null,null,null,,null,null,null,null
0.01,833556,null,null,1.93,-0.0343,80808.30,,3990537.49,-1079005.31,40863699.16,5448442.20
null,833557,null,null,null,null,null,,null,null,null,null
-0.02,833561,null,null,2.86,-0.0069,-197059.13,,13283228.41,-192896.48,39466545.48,10872679.25
0.03,833562,null,null,1.58,0.0157,1353523.21,,15961287.32,1808343.08,123014658.53,36149771.72
0.17,833564,null,null,3.04,0.0538,18672954.58,,154251438.64,19012952.32,718550664.87,383712394.80
-0.06,833565,null,null,1.83,-0.0328,-7138333.69,,50402597.65,-6841842.51,219449737.93,9146047.48
0.14,833566,null,null,2.71,0.0511,7331021.64,,31104819.81,7979781.37,166116758.71,28118061.22
0.02,833567,null,null,1.05,0.0038,2283018.39,,3374478.26,815320.52,135962906.01,30600112.76
-0.13,833569,null,null,1.19,-0.1018,-640729.75,,-887685.15,-640729.75,6249450.69,275404.28
null,833570,null,null,null,null,null,,null,null,null,null
0.27,833571,null,null,null,0.0772,4195509.86,,4564837.56,4816124.58,65477609.47,16747166.33
2.26,833573,null,null,8.17,0.3139,11776924.77,,32487675.93,16257207.54,54816291.49,12208976.07
-0.31,833574,null,null,2.20,-0.1345,-7620327.59,,6345234.83,-7173494.62,72426058.27,17303209.83
-0.14,833575,null,null,null,null,null,,null,null,null,null
-0.24,833576,null,null,1.03,-0.2125,-7537000.61,,-5759819.35,-7592550.80,35996351.11,4082123.94
-0.06,833577,null,null,1.11,-0.0703,-11996691.33,,-210972953.05,-13517731.33,255701206.09,27970559.14
0.06,833578,null,null,1.60,0.0363,1807134.79,,12703111.07,1926267.41,55049081.61,7567435.05
0.15,833580,null,null,1.94,0.0732,7555140.96,,18672807.41,8346821.15,135754356.92,38863409.65
0.03,833582,null,null,1.05,0.0084,669704.54,,873963.07,27454.64,35034104.60,11868606.00
0.02,833583,null,null,1.64,0.0126,732074.60,,9374063.30,826324.88,119438661.54,42417731.74
