earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
0.07,836675,null,null,1.27,0.0534,7844185.81,,17060801.58,8757002.27,235666018.89,100518787.87
0.02,836676,null,null,1.19,0.0136,1606391.83,,13994919.88,1987945.01,196078923.42,77318197.32
0.02,836677,null,null,1.12,0.0153,543516.50,,581021.85,816941.70,64205161.16,28110914.61
0.09,836678,null,null,-0.28,-0.1184,431785.90,,-7034803.91,124561.67,1766445.22,3171144.05
0.34,836679,null,null,2.83,0.1451,8018143.17,,22962284.29,6250743.15,112173952.00,26419730.31
0.14,836680,null,null,2.32,0.0605,21656032.66,,54492032.36,29005355.01,475579234.22,104283955.78
null,836681,null,null,null,null,null,,null,null,null,null
-0.09,836682,null,null,-0.21,-3.6337,-454368.83,,-6573883.52,-1780309.78,9103921.54,10166483.86
null,836683,null,null,null,null,null,,null,null,null,null
0.22,836684,null,null,1.65,0.1450,11358687.43,,20080240.95,14901607.96,191462540.26,107472644.21
null,836685,null,null,null,0.0707,null,,null,null,null,null
null,836686,null,null,null,null,null,,null,null,null,null
0.15,836687,null,null,1.82,0.0566,1495469.90,,6290497.95,823324.57,31890125.53,13554612.77
-0.11,836688,null,null,0.91,-0.1522,-5282754.85,,-7005442.84,-6366693.06,59453560.20,14363930.02
null,836690,null,null,null,null,null,,null,null,null,null
0.12,836691,null,null,1.57,0.0820,2471116.68,,9046193.45,3214118.10,76128027.66,44767564.52
0.01,836692,null,null,3.29,-0.0022,668647.76,,71513744.08,-225012.56,505947050.26,330874802.06
0.54,836693,null,null,2.75,0.1783,2715928.52,,732664.34,2624127.87,24846548.02,11111811.17
null,836694,null,null,null,null,null,,null,null,null,null
-0.47,836695,null,null,5.46,0.0937,-9402498.97,,35051445.91,15204724.69,532996281.72,423779332.24
1.55,836696,null,null,6.12,0.2374,7725782.70,,19125923.21,7330904.76,50534511.45,19948430.90
-0.04,836697,null,null,0.72,-0.1566,null,,-3746312.89,-1325729.09,23522315.53,15285045.75
0.11,836698,null,null,1.31,0.0864,3260501.82,,8983485.59,4353052.91,75613580.25,36243358.28
0.71,836699,null,null,3.67,0.2050,7062456.16,,21191210.68,7834092.89,78952557.24,42223015.24
0.13,836700,null,null,2.05,0.0674,null,,43105575.82,8968752.06,320536726.65,221961780.88
0.66,836701,null,null,7.36,0.0919,29060021.87,,128357642.52,28691841.80,417310662.00,80111573.68
0.22,836702,null,null,2.43,0.0897,1482259.42,,8320344.96,1588307.68,19078833.03,2852760.29
null,836704,null,null,null,null,null,,null,null,null,null
-0.06,836707,null,null,0.87,-0.0884,-4136148.06,,-15755295.43,-6342536.57,137881013.13,80799463.74
0.16,836708,null,null,2.30,0.0455,3632259.63,,17923167.71,2934258.41,95291661.05,44201995.96
0.06,836709,null,null,3.34,0.0159,8292681.46,,23903554.78,6143010.31,707160434.47,186248164.19
0.27,836711,null,null,2.14,0.1328,3145562.21,,9822279.91,4206972.76,67908440.45,43132500.21
0.05,836712,null,null,1.41,0.0298,506438.72,,3158467.14,635747.81,26265299.79,12014986.21
0.02,836714,null,null,2.00,0.0110,949999.26,,3856591.01,1138173.19,114328927.08,26234133.63
-0.13,836715,null,null,0.42,-0.3384,-1935569.55,,-10602000.56,-2435569.55,34382764.14,28153692.83
0.45,836716,null,null,2.58,0.1470,25812091.39,,83359230.56,28671096.06,430237358.46,272979341.90
0.17,836717,null,null,1.96,0.0803,13068817.71,,41170323.92,14436437.54,237333462.63,78468959.55
0.12,836718,null,null,1.21,0.0853,9045229.60,,12986546.16,7588439.56,164077456.19,72867134.80
0.43,836719,null,null,2.26,0.1177,5102658.61,,8617889.53,3754739.33,88738424.19,61672491.03
null,836720,null,null,null,null,null,,null,null,null,null
-0.08,836721,null,null,0.98,-0.1282,-1600777.17,,-8218490.35,-2844613.22,137499580.97,117699117.79
0.27,836722,null,null,2.64,0.0859,26970509.04,,64087426.10,34479196.49,477695447.90,214003201.29
0.09,836723,null,null,1.28,0.0432,3656193.46,,8399939.28,2012616.64,112938089.12,62207578.40
0.47,836724,null,null,3.09,0.1729,29340443.81,,84469457.23,34652447.15,249629167.66,50440529.38
0.75,836726,null,null,4.27,0.1562,7918169.43,,32565547.70,11161538.03,238850039.45,191334851.17
0.06,836727,null,null,2.33,0.0236,563197.50,,3113618.35,611267.88,36060692.10,12697147.06
0.02,836730,null,null,1.03,0.0200,482002.36,,-59797.91,487191.21,46155740.80,22932653.48
0.34,836731,null,null,3.01,0.1073,4826156.00,,22227385.00,4925411.64,51653407.17,7895970.18
0.00,836732,null,null,-1.64,-0.0499,61972.99,,4196676.21,74481.57,24971658.30,1971704.85
-0.02,836733,null,null,1.01,-0.0271,-685270.37,,null,-835270.37,37852686.30,7411147.20
null,836735,null,null,null,null,null,,null,null,null,null
0.18,836737,null,null,1.60,0.1107,3544793.15,,null,4302124.85,71746530.72,39829944.08
0.04,836738,null,null,1.31,0.0315,2421647.92,,7291490.96,1460251.46,155297044.48,79464544.22
0.03,836739,null,null,0.73,0.0467,459020.70,,-8193286.03,-856350.72,39670898.10,17864184.13
0.10,836740,null,null,1.32,0.0180,1911603.47,,3818994.60,396119.16,29568896.78,3203343.81
0.09,836741,null,null,null,0.0682,null,,null,null,null,null
0.18,836742,null,null,2.43,0.0778,5501062.29,,31187835.04,6277917.22,106299251.55,32821278.78
0.06,836743,null,null,1.07,0.0206,1288846.67,,344344.12,555722.20,59245613.95,36175465.40
0.06,836745,null,null,1.41,0.0171,1796559.63,,8360039.57,974965.00,88256803.04,43770874.87
-0.11,836746,null,null,0.36,-0.2867,null,,-11626124.95,-959039.43,19176651.78,16296532.91
0.14,836747,null,null,1.50,0.0701,1744792.77,,5191984.39,1505604.19,42964930.23,24312154.16
0.31,836748,null,null,2.47,0.1151,15739368.49,,27001890.11,16310351.04,320573077.40,193498021.89
0.02,836749,null,null,1.51,-0.0024,533405.56,,-499191.34,-273933.21,139744773.95,99631306.03
0.28,836750,null,null,2.12,0.1208,2817541.45,,9043909.43,2447798.25,35557095.45,14349007.94
null,836751,null,null,null,null,null,,null,null,null,null
null,836753,null,null,null,null,null,,null,null,null,null
-0.13,836754,null,null,1.29,-0.1182,-1595324.54,,-1156555.61,-2095324.54,21365380.54,5659134.55
-0.28,836755,null,null,0.84,-0.2899,-1591362.04,,-1252430.10,-1807078.48,10264764.94,5973261.74
null,836756,null,null,null,null,null,,null,null,null,null
0.02,836757,null,null,1.83,-0.0070,469034.51,,601110.92,-1217029.60,36998068.41,449087.46
-0.23,836759,null,null,1.55,-0.1565,-9087037.47,,5237267.19,-10411697.90,164564478.07,102502027.27
0.24,836760,null,null,2.25,0.1107,5913534.39,,27252312.56,6959715.79,105665583.34,49297253.49
-0.10,836761,null,null,0.74,-0.1314,-520962.42,,-1932070.67,-521262.42,4203579.25,497918.72
0.23,836763,null,null,2.36,0.0826,8532911.50,,19602123.87,8278060.97,176245169.11,88781730.02
0.31,836764,null,null,4.55,0.0807,9521120.22,,30779693.19,11002064.57,164238147.77,13974019.74
-0.41,836765,null,null,0.16,-1.2862,-14841230.94,,-32883676.95,-17177503.58,229211952.16,223478623.36
1.25,836766,null,null,5.19,0.3501,23528938.59,,36640699.33,27681050.80,173438146.38,56651788.49
0.25,836767,null,null,2.11,0.1086,13390029.34,,14240463.70,14497453.89,202017155.77,87720105.41
0.01,836768,null,null,1.15,-0.0166,303223.81,,2234125.48,330903.60,35688303.17,6991695.38
0.88,836769,null,null,5.50,0.1664,13201991.19,,54631367.25,14857349.08,170075307.81,87632538.43
0.37,836770,null,null,3.09,0.1115,8878666.09,,13882235.34,11683023.74,159192226.61,85111616.78
0.14,836771,null,null,1.44,0.0851,2920777.99,,5824951.38,2902476.22,63102778.39,32815253.01
null,836772,null,null,null,null,null,,null,null,null,null
0.10,836773,null,null,1.36,0.0558,4556864.21,,5723792.91,5083340.77,110336930.36,45769710.30
-0.01,836774,null,null,1.07,-0.0291,-591053.11,,1144624.76,-1729232.32,83299367.48,31902461.24
0.17,836775,null,null,1.64,0.1096,3285157.84,,10646357.77,4343195.87,86128747.23,54974249.76
0.31,836776,null,null,1.59,0.1400,6243146.23,,6539783.12,7252235.07,40021081.51,8246470.64
null,836777,null,null,null,null,null,,null,null,null,null
0.01,836778,null,null,1.09,-0.0259,243793.52,,1525638.75,-703084.72,45135847.88,21629959.08
0.03,836779,null,null,1.73,0.0144,1413219.01,,10895546.00,1420799.14,154989409.32,68648486.84
0.28,836780,null,null,1.50,0.2060,8541352.67,,8936908.10,8234927.15,87820069.91,41921024.10
0.14,836781,null,null,2.24,0.0530,12428869.34,,49425460.28,13917042.50,324914912.21,113631436.28
0.11,836782,null,null,2.05,0.0512,6440201.77,,30333729.44,8183771.91,224703814.86,101666822.64
0.10,836783,null,null,1.42,0.0615,1572728.41,,5154882.02,1471664.69,38640171.88,17155534.50
null,836784,null,null,null,null,null,,null,null,null,null
null,836786,null,null,null,null,null,,null,null,null,null
null,836787,null,null,null,null,null,,null,null,null,null
-0.11,836788,null,null,1.70,-0.0604,-3318783.41,,2304617.45,-3272473.61,63150873.42,10282880.20
null,836789,null,null,null,null,null,,null,null,null,null
null,836790,null,null,null,null,null,,null,null,null,null
0.13,836791,null,null,1.43,0.0987,1341509.32,,2168617.45,661614.65,20966517.80,6704565.86
0.21,836792,null,null,1.95,0.1137,11161050.24,,28852086.35,12634257.92,128856447.65,23289483.82
-0.51,836793,null,null,0.99,-0.4076,-5051841.40,,-2701640.08,-4995472.40,49896416.79,40006296.53
null,836794,null,null,null,null,null,,null,null,null,null
null,836795,null,null,null,null,null,,null,null,null,null
0.04,836796,null,null,2.72,0.0096,2759337.77,,65508479.59,3140958.03,375692906.18,171688703.49
0.09,836797,null,null,2.45,0.0995,4153188.10,,32819522.03,3639989.71,147595972.14,38386135.62
-0.07,836799,null,null,1.03,-0.0672,-1324370.54,,-1216669.31,-1342119.64,55260521.57,34719983.93
0.04,836801,null,null,1.38,0.0221,1636139.72,,2071334.16,1835329.46,78636447.71,17262005.78
0.00,836802,null,null,1.40,-0.0188,27563.36,,4854283.06,-554968.44,49970790.23,26974871.13
-0.07,836803,null,null,2.77,-0.0273,-766309.95,,5072385.95,-951442.02,51465479.88,22370427.49
0.03,836804,null,null,1.01,-0.0084,939779.09,,-975690.09,-449334.74,76165722.62,45746119.34
0.25,836805,null,null,2.48,0.0700,3221845.66,,11717628.59,2167748.92,51184103.01,18994752.08
0.08,836806,null,null,5.27,0.0208,5383479.54,,28432546.22,5984614.03,351465262.92,82020197.74
0.15,836807,null,null,3.74,0.0357,19855224.21,,275787424.61,23269200.27,918176537.65,433023801.36
null,836808,null,null,null,null,null,,null,null,null,null
0.08,836809,null,null,2.14,0.0400,4065774.27,,8494540.46,4654667.11,235033418.87,124008651.91
0.07,836810,null,null,1.30,0.0556,4793748.05,,17867316.13,5911969.61,166190854.68,77563926.68
0.09,836811,null,null,1.80,0.0317,1268310.11,,5441307.77,1299638.51,39282887.01,7439643.49
0.02,836812,null,null,1.14,-0.0329,538919.51,,1274352.66,-929192.28,136397242.42,111863818.33
-0.38,836815,null,null,3.73,-0.1070,-10864771.57,,-5783024.78,-11591851.07,115608059.75,17288835.14
0.01,836816,null,null,1.06,-0.0020,139991.28,,204446.48,-42116.27,16626849.91,1799429.28
0.04,836817,null,null,1.04,0.0317,1529512.47,,22210.39,1458483.86,61187802.33,24635298.97
0.19,836818,null,null,1.52,0.1188,3767063.50,,9575044.66,4647791.07,47647221.82,17199199.08
null,836819,null,null,null,null,null,,null,null,null,null
0.03,836820,null,null,1.39,0.0197,441570.47,,4780357.24,658593.50,38032307.26,17108292.46
0.55,836821,null,null,3.65,0.1688,16881699.23,,57197267.93,18758455.69,151157666.80,37222383.77
0.36,836822,null,null,3.06,0.0883,1812070.98,,6462275.46,1363418.23,69868656.45,54575881.87
0.33,836823,null,null,3.91,0.0210,16309786.47,,27367314.38,4649597.58,380642563.50,185117074.37
0.41,836825,null,null,2.69,0.1899,19696642.50,,57273907.58,23415487.76,165575641.50,29807418.47
0.11,836826,null,null,1.23,0.0660,2934529.75,,2958392.51,3711140.04,63261753.49,29462843.65
0.02,836827,null,null,2.02,0.0191,124533.74,,763149.10,192368.15,11747333.21,1654870.28
0.36,836828,null,null,4.99,0.0780,4014803.22,,6544629.56,5154024.59,123604367.81,68742488.20
0.10,836829,null,null,1.55,0.0271,1951050.78,,1203328.30,611903.98,32361267.07,1427534.82
0.05,836830,null,null,1.49,0.0377,1503483.16,,11078960.08,1524254.74,87571912.53,38112387.06
0.47,836831,null,null,2.13,0.2307,4857990.75,,10020176.90,6186549.42,37584651.96,15590898.82
0.40,836832,null,null,4.82,0.0810,24924926.93,,110850251.42,29466044.16,598790056.88,251786208.66
0.99,836833,null,null,2.71,0.3673,20970666.47,,34877244.52,23611326.80,367403415.65,277620713.79
-0.03,836834,null,null,1.66,-0.0309,-1007827.63,,-15643097.10,-1013024.97,79693632.30,19701173.84
null,836835,null,null,null,null,null,,null,null,null,null
0.05,836836,null,null,1.22,0.0306,1980540.92,,6172046.72,1680240.73,83561850.29,37117860.79
null,836837,null,null,null,null,null,,null,null,null,null
0.06,836838,null,null,1.31,0.0152,566176.92,,2138407.12,312523.77,31988401.09,18921673.10
0.05,836840,null,null,0.97,0.0370,2067740.49,,-12658328.47,296054.93,77526642.67,34868994.61
0.17,836841,null,null,1.48,0.0990,6639577.33,,14385674.52,7643808.02,85055252.91,26010922.35
-0.07,836842,null,null,2.00,-0.0396,-795431.25,,8818329.52,-1812139.11,41489592.14,19245743.27
-0.06,836843,null,null,1.79,-0.0468,null,,-6817613.00,-1853209.77,61189564.78,22606091.61
0.11,836845,null,null,1.52,0.0136,1108591.13,,-350745.92,38091.13,36970279.38,21766834.77
-0.13,836846,null,null,0.88,-0.1393,-6593832.83,,-16247780.89,-6607232.21,57211371.23,13081557.25
0.01,836847,null,null,1.39,0.0034,384979.93,,1579556.83,190731.67,95956553.51,60067617.13
-0.74,836848,null,null,0.50,-0.8980,-12035746.59,,-66682446.74,-12638840.59,13935092.01,5878482.14
0.03,836849,null,null,1.21,0.0210,704760.91,,2272764.76,1005716.50,37548682.66,3613211.51
0.35,836850,null,null,5.43,0.0883,12304259.13,,46379252.18,14153297.37,246051747.03,37593191.25
0.24,836851,null,null,1.82,0.1148,5295234.35,,6086526.78,4882222.22,45910567.31,5915130.01
0.12,836852,null,null,2.89,0.0456,1769429.09,,16362501.05,2788655.77,118829045.59,75217631.30
null,836853,null,null,null,null,null,,null,null,null,null
0.00,836854,null,null,1.05,-0.0035,90054.58,,-2782091.94,-194633.14,75693745.83,28587320.32
-0.03,836855,null,null,0.81,-0.0585,-1763863.71,,-12514249.94,-2399366.67,109481630.22,67243738.81
null,836856,null,null,null,null,null,,null,null,null,null
null,836857,null,null,null,null,null,,null,null,null,null
5.22,836858,null,null,23.75,0.3578,10529945.92,,21401632.04,11531812.00,53013858.08,3147513.63
0.11,836859,null,null,1.68,0.0478,6093524.21,,16484164.84,4009279.77,132451654.39,41723686.85
-0.81,836860,null,null,3.02,-0.2471,-8127275.56,,10358583.07,-8368162.65,86747102.22,56584402.66
0.0383,836861,null,null,1.12,0.0228,5362890.48,,6615159.06,4673358.75,263366600.19,106813819.29
-0.06,836863,null,null,0.69,-0.0837,-299739.11,,-1574262.73,-344805.75,28612231.62,25179436.69
0.49,836864,null,null,2.33,0.2127,9870631.24,,21670636.58,13509281.86,121738883.35,75221639.78
0.09,836865,null,null,0.81,0.0889,3153013.55,,-24628932.58,2300821.15,92538030.68,64195236.80
0.13,836867,null,null,1.84,0.0635,8650864.23,,24245334.38,9883283.00,254662913.12,125659964.56
0.19,836868,null,null,3.06,0.0799,7399115.92,,14883734.43,8541779.82,142209628.79,35624136.95
0.01,836870,null,null,3.42,-0.0170,128686.53,,9815302.45,-1181523.86,80787119.97,7639270.33
0.18,836871,null,null,1.53,0.1073,6562259.07,,10868986.10,7907865.19,69180178.71,12414383.20
-0.15,836872,null,null,1.11,-0.1265,-3153499.95,,-2149254.60,-3226621.23,23960189.53,2371319.31
0.05,836873,null,null,3.18,0.0033,961039.30,,29025670.90,207151.57,89351647.55,28969475.78
null,836874,null,null,null,null,null,,null,null,null,null
-0.22,836876,null,null,1.72,-0.1631,-3179315.96,,690921.43,-3378811.13,27894309.01,2770208.22
0.07,836877,null,null,2.32,0.0174,435988.71,,3179599.23,230751.74,15929177.81,2003986.18
-0.07,836879,null,null,0.98,-0.0465,-3512576.65,,-6845840.39,-3495169.01,71445484.65,24239785.19
-0.17,836880,null,null,1.18,-0.1546,-1736823.88,,-6451066.84,-1879278.03,22382655.74,10606327.61
0.06,836881,null,null,1.41,0.0094,1558734.59,,4891636.28,290518.38,56454976.64,21247673.75
0.00,836882,null,null,1.28,-0.0033,61383.76,,2924042.16,517162.19,34546397.90,8908965.68
0.05,836883,null,null,1.35,0.0303,2839967.30,,6224627.67,3072537.58,208390479.98,122809989.06
0.31,836884,null,null,2.56,0.1277,4674327.02,,19513448.51,5360692.38,109229387.98,70888633.19
0.21,836885,null,null,2.52,0.0823,7499198.75,,31268901.46,8391184.08,110939900.01,13044484.28
0.01,836887,null,null,1.28,-0.0214,112711.31,,2298680.23,-243535.53,20385474.91,7598884.84
0.31,836888,null,null,2.60,0.0928,21722956.57,,81808281.73,20009945.83,243945519.30,63751226.32
0.16,836890,null,null,1.57,0.1012,2524486.29,,5816374.21,3131366.24,64408113.85,38360804.96
-0.30,836891,null,null,4.06,-0.2422,-2393833.62,,701826.98,-4195013.54,36123050.79,3025508.89
null,836892,null,null,null,null,null,,null,null,null,null
0.12,836893,null,null,1.51,0.0650,2416327.15,,9480637.21,2190024.72,46970865.94,15992239.39
0.00,836894,null,null,1.70,-0.0002,37410.08,,3126207.79,38387.01,39624300.77,19360168.18
null,836895,null,null,null,null,null,,null,null,null,null
0.27,836897,null,null,5.09,0.0561,14737465.16,,95613654.33,18818089.01,540232137.27,261582676.71
0.37,836898,null,null,2.56,0.1165,4430963.53,,16073633.81,4161809.92,52480289.95,21800781.38
0.07,836899,null,null,1.80,0.0127,1876382.58,,11187137.88,593160.58,87329917.86,39345048.32
0.60,836900,null,null,4.03,0.1466,5363603.00,,19348265.35,6599318.15,153955556.73,117654837.71
null,836901,null,null,null,null,null,,null,null,null,null
0.26,836902,null,null,4.68,0.0429,7114950.60,,21686731.50,6388512.16,183400336.18,53418837.87
null,836905,null,null,null,null,null,,null,null,null,null
0.15,836906,null,null,1.23,0.1326,4372647.35,,5154114.75,5772067.66,115946862.94,80785730.32
-0.19,836907,null,null,1.09,-0.1968,-5726637.92,,-22581962.47,-6490844.44,42873583.80,9058836.29
0.03,836908,null,null,1.15,-0.0334,386461.00,,582321.97,430114.78,28897209.55,13879416.56
0.04,836909,null,null,1.19,0.0305,3623902.75,,5021719.23,4123708.56,219029052.52,99246494.15
null,836910,null,null,null,null,null,,null,null,null,null
0.03,836911,null,null,1.40,0.0255,1280578.02,,4576585.69,1713491.76,89989747.07,15063230.86
0.27,836912,null,null,1.47,0.1634,1334417.03,,224286.07,1006486.86,9123017.33,1795036.99
0.04,836913,null,null,1.58,0.0146,null,,null,null,69537755.84,30928166.16
-0.05,836915,null,null,1.23,-0.0522,-2479903.27,,7008488.96,-3225383.77,148277120.88,92087561.10
0.16,836916,null,null,1.37,0.1092,5828455.28,,2714884.33,6116175.16,167512610.66,114253032.55
-0.20,836917,null,null,4.96,-0.0456,-6608957.03,,38587132.46,-7980520.44,216026432.59,47367728.23
0.11,836918,null,null,2.18,0.0514,581192.38,,-1084460.01,579853.00,52567566.65,29150628.47
0.22,836919,null,null,1.71,0.1277,10826776.23,,28386929.00,12029134.72,163111763.30,69478368.18
-0.15,836920,null,null,0.03,-1.2348,-7486364.26,,-68772778.56,-8098045.92,45485591.90,43915045.10
-0.24,836921,null,null,0.19,-0.7677,-4814758.94,,-13461365.82,-4815831.18,13234337.87,8962412.93
-0.06,836922,null,null,0.88,-0.0938,-1691073.50,,-5051157.14,-3169666.75,31558999.58,8229672.56
0.10,836923,null,null,1.64,0.0462,1067339.31,,2540596.59,700368.58,26776747.88,10360678.22
null,836924,null,null,null,null,null,,null,null,null,null
-0.36,836925,null,null,0.84,-0.3561,-18383731.68,,-78050324.11,-18472536.05,97297963.10,54862441.06
0.17,836926,null,null,1.87,0.0877,11038601.57,,52636925.25,12393712.52,143863590.39,20442026.32
-0.17,836927,null,null,-0.09,0.4472,-1226106.57,,-11446854.71,-1226106.72,22668336.69,26025923.03
-0.05,836928,null,null,1.77,-0.0603,-2610947.53,,-11759889.68,-6001261.55,135783596.71,26810190.05
0.00,836929,null,null,1.31,0.0011,24815.07,,4107289.63,263877.70,82472360.22,56267955.55
0.23,836930,null,null,1.66,0.0968,15245603.54,,2709641.81,20881545.98,142594120.94,51641372.52
-0.05,836932,null,null,1.53,-0.0418,-578844.98,,1669243.73,-852224.93,22257856.74,4646022.88
null,836933,null,null,null,null,null,,null,null,null,null
0.02,836934,null,null,2.23,-0.0147,188393.83,,-1604610.52,-1454303.62,102790652.72,12262886.08
0.62,836935,null,null,3.57,0.1754,3031873.88,,7275990.68,3150898.53,24900663.20,7595681.52
-0.24,836936,null,null,1.32,-0.1763,-3611746.37,,-1861802.59,-3861746.37,22074567.65,2327033.13
0.07,836937,null,null,1.84,0.0140,692084.57,,3687777.57,386830.71,26088277.05,7667056.88
0.11,836938,null,null,1.96,0.0368,3582012.37,,21649369.64,2662271.08,179089143.87,116469588.76
0.21,836939,null,null,4.23,0.0211,2709856.30,,11653491.35,1320725.86,75475950.17,20619729.09
0.21,836940,null,null,null,0.1198,null,,null,null,null,null
0.26,836942,null,null,2.24,0.1237,6340637.98,,16267582.31,7555606.02,126689033.66,72811509.70
-0.01,836943,null,null,1.15,-0.0122,-146230.15,,228156.49,-140535.00,11876281.17,353450.06
0.70,836944,null,null,3.59,0.2174,7027939.12,,22677905.26,8492566.52,49094923.98,13238370.46
0.15,836945,null,null,2.58,0.0371,6839758.19,,39466484.73,6508222.45,204177049.83,86717347.45
0.09,836946,null,null,1.38,0.0672,2244396.80,,8799022.84,2414350.04,67121206.73,32593892.11
0.01,836947,null,null,1.94,0.0038,213101.52,,9904246.57,163582.89,90241720.08,45442802.82
-0.05,836948,null,null,1.03,-0.0479,-913225.59,,-2978838.12,-991030.33,48915238.78,28772751.63
-0.19,836949,null,null,1.64,-0.1087,-3511535.39,,6798534.41,-5090245.68,44289328.91,14598350.95
-0.03,836950,null,null,1.69,-0.0423,-1042782.70,,-7039255.44,-2512517.68,163161129.19,110120840.41
0.51,836952,null,null,4.70,0.1059,11848654.20,,55017208.02,13069943.23,163515137.27,52670947.94
-0.12,836953,null,null,1.27,-0.0924,-2446350.79,,-497806.36,-2501119.95,28383497.05,2541448.32
-0.12,836954,null,null,2.05,-0.0866,-1277686.28,,2064172.87,-1272665.43,37426665.08,23373730.22
-0.27,836955,null,null,0.88,-0.2792,-2462131.83,,-2094089.05,-2558054.68,8376508.93,469749.01
0.05,836956,null,null,1.17,0.0263,1647637.86,,3932886.30,1274370.44,59983615.58,23980702.43
0.13,836957,null,null,1.17,0.0901,10388314.25,,10516873.99,11807121.44,127559301.13,32203929.34
0.21,836958,null,null,null,null,null,,null,null,null,null
0.02,836959,null,null,1.38,-0.0100,1388913.04,,2173724.89,1650117.34,118821861.58,8404515.27
0.21,836961,null,null,1.86,0.1124,4166017.03,,13988280.12,5501730.52,55673065.88,18426809.75
0.19,836962,null,null,1.39,0.1251,7007379.54,,12378843.73,7805621.18,74011066.91,24015133.01
-0.37,836963,null,null,0.33,-0.7701,-3705930.00,,-7109948.33,-4034686.25,15237937.21,11894714.86
0.11,836964,null,null,1.48,0.0698,8824637.24,,9402596.18,11532262.80,215324881.42,93081218.41
-0.39,836965,null,null,0.31,-0.7776,-2933532.55,,-5638360.39,-2989118.95,21365058.32,19005659.62
0.09,836966,null,null,1.79,0.0206,2434410.55,,9520069.61,1213208.46,96070160.97,48777452.06
0.37,836967,null,null,2.36,0.1670,null,,3121582.08,2136788.25,18329376.21,6527857.37
-0.18,836968,null,null,0.53,-0.2996,-4736333.92,,-14191973.67,-4846714.48,24742030.32,10969896.78
0.13,836969,null,null,1.65,0.0821,13071849.90,,36813798.95,17838726.95,666380544.67,500937756.89
0.18,836970,null,null,3.55,0.0400,21555152.34,,73800112.97,23834995.73,823518799.00,426516018.20
0.08,836971,null,null,1.39,0.0381,793775.76,,2089172.64,659528.61,121254736.39,106681728.72
0.01,836973,null,null,1.09,-0.0132,246682.71,,2045611.25,-570050.78,44590247.29,11833718.23
0.06,836974,null,null,1.11,0.0543,322541.99,,-669847.45,330101.49,10889279.11,4792863.13
0.14,836975,null,null,1.42,0.0879,5856783.01,,14846067.04,4896252.84,169789502.21,108898607.04
0.14,836976,null,null,2.11,0.0676,5029852.87,,21910868.86,6143695.12,154723585.58,69192604.06
null,836977,null,null,null,null,null,,-11644000.59,null,191440254.78,110350783.20
0.00,836978,null,null,1.34,0.0003,172541.16,,3214070.66,-22647.98,143863634.97,90219454.99
-0.06,836979,null,null,1.86,-0.0375,-5335874.39,,-10527927.59,-6031449.47,332248590.34,164708040.05
1.05,836980,null,null,10.84,0.1003,27819063.24,,82608230.20,33488717.77,495658441.17,202503784.27
0.02,836981,null,null,1.40,0.0014,99980.21,,394321.77,15531.85,21465924.34,13052944.33
null,836982,null,null,null,null,null,,null,null,null,null
-0.11,836984,null,null,1.09,-0.0601,-6485578.30,,-6151307.62,-6976725.88,66340609.92,863505.34
null,836985,null,null,null,null,null,,null,null,null,null
0.87,836986,null,null,2.55,0.3349,61721809.98,,62357339.73,81913676.21,280901225.71,100461950.99
0.03,836987,null,null,1.67,-0.0048,1355434.13,,4475277.34,1017370.81,193822265.39,114605483.29
0.07,836988,null,null,1.41,0.0523,5270215.44,,28675572.09,6764062.05,260413327.70,139534829.47
-0.17,836990,null,null,2.64,-0.0858,-2069210.46,,867442.03,-3153426.87,35152380.59,6263197.17
0.06,836991,null,null,1.62,0.0029,1347676.88,,8412840.35,113168.70,58550455.70,24542452.21
null,836992,null,null,null,null,null,,null,null,null,null
-0.10,836993,null,null,1.15,-0.0953,-1920587.44,,848875.63,-2284451.48,41740096.82,18673272.45
0.02,836994,null,null,1.30,0.0182,245104.09,,729290.98,420654.35,20838636.42,7830802.83
-0.38,836995,null,null,0.45,-0.6524,-3799744.76,,-7398491.22,-3954397.83,104655349.22,100156974.53
null,836996,null,null,null,null,null,,null,null,null,null
0.04,836997,null,null,2.41,0.0093,2199206.51,,36179333.56,1600095.23,261994485.61,115031209.47
null,836998,null,null,null,null,null,,null,null,null,null
-0.18,836999,null,null,0.86,-0.1992,-2700991.55,,-2635470.42,-2853739.17,88448260.17,75534200.37
0.12,837000,null,null,1.10,0.0074,2406212.65,,-3450281.51,153748.67,26153682.41,4064083.48
-0.09,837001,null,null,1.09,-15.1800,null,,-3970850.04,-3724879.67,123362976.88,102632132.16
0.53,837002,null,null,2.45,0.2702,6010072.62,,2916469.78,6339009.80,107260049.71,79514693.69
0.16,837004,null,null,1.85,0.0929,14102605.08,,37571640.06,15688810.19,239518464.42,63352792.52
0.07,837005,null,null,3.07,0.0089,5352811.58,,75643673.22,3181775.76,391593346.33,136033465.16
0.02,837006,null,null,1.15,-0.0083,795160.67,,1428175.79,-953768.36,121845011.04,50030494.48
0.19,837007,null,null,3.70,0.0487,5619614.95,,20317270.42,6232887.81,115423043.08,8104134.35
0.14,837008,null,null,1.32,0.1048,1377929.15,,1946034.33,1744331.69,16697861.18,3503728.17
0.54,837009,null,null,6.10,0.0919,28281735.51,,73913227.11,33207375.40,394853971.12,55659138.49
